series_id	status	title	reason
15	ambiguous	One Piece	Multiple or borderline candidates; no mapping was guessed.
18	ambiguous	Wind Breaker	Multiple or borderline candidates; no mapping was guessed.
19	ambiguous	Kimetsu no Yaiba	Multiple or borderline candidates; no mapping was guessed.
32	not_found	Homunculus	SparkManga search returned no usable /manga/ candidate.
61	not_found	kimetsu no yaiba Doujinshi	Candidates existed, but none reached the safe match threshold.
84	not_found	Finding My Father's Son	SparkManga search returned no usable /manga/ candidate.
100	not_found	Hayate no Gotoku!	SparkManga search returned no usable /manga/ candidate.
105	not_found	Hana to Akuma	Candidates existed, but none reached the safe match threshold.
106	not_found	Himouto! Umaru-chan	SparkManga search returned no usable /manga/ candidate.
108	not_found	Heroine Shikkaku	SparkManga search returned no usable /manga/ candidate.
109	not_found	Hero (YOU Ling)	SparkManga search returned no usable /manga/ candidate.
111	not_found	Haru no Houtai Shoujo	SparkManga search returned no usable /manga/ candidate.
112	ambiguous	Honey	Multiple or borderline candidates; no mapping was guessed.
114	not_found	Hanazakari no Kimitachi e	SparkManga search returned no usable /manga/ candidate.
116	ambiguous	Sword Art Online	Multiple or borderline candidates; no mapping was guessed.
119	not_found	Sukitte Ii na yo.	SparkManga search returned no usable /manga/ candidate.
129	not_found	Bishoujo Senshi Sailormoon	SparkManga search returned no usable /manga/ candidate.
130	not_found	Stardust★Wink	SparkManga search returned no usable /manga/ candidate.
145	not_found	Uchi no Heika ga Shinmai de.	SparkManga search returned no usable /manga/ candidate.
148	not_found	UFO Robo Grendizer	SparkManga search returned no usable /manga/ candidate.
150	not_found	Ultra Maniac	SparkManga search returned no usable /manga/ candidate.
151	not_found	Ultraman Tiga	SparkManga search returned no usable /manga/ candidate.
160	not_found	Cross x Regalia	SparkManga search returned no usable /manga/ candidate.
175	not_found	5-tsu no Hajimete – Ubawarete mo Ii, Kimi ni Nara	SparkManga search returned no usable /manga/ candidate.
187	not_found	Sengoku Youko	SparkManga search returned no usable /manga/ candidate.
214	not_found	Hot Ice Tune	SparkManga search returned no usable /manga/ candidate.
215	not_found	Hot Milk (KOMURA Ayumi)	SparkManga search returned no usable /manga/ candidate.
232	ambiguous	TAL	Multiple or borderline candidates; no mapping was guessed.
254	not_found	Aphorism	SparkManga search returned no usable /manga/ candidate.
258	not_found	Ano Ko no, Toriko.	SparkManga search returned no usable /manga/ candidate.
261	not_found	Real/Fake Princess	SparkManga search returned no usable /manga/ candidate.
262	not_found	Roppyaku Peiji no Mystery	SparkManga search returned no usable /manga/ candidate.
267	not_found	L♥DK	SparkManga search returned no usable /manga/ candidate.
272	not_found	Liar x Liar	Candidates existed, but none reached the safe match threshold.
273	not_found	Last Notes	SparkManga search returned no usable /manga/ candidate.
288	not_found	Doulou Dalu	SparkManga search returned no usable /manga/ candidate.
299	not_found	Zenbu Chodai - Oneshot	SparkManga search returned no usable /manga/ candidate.
300	not_found	Zenbu Kimi no Mono	SparkManga search returned no usable /manga/ candidate.
301	not_found	Zenbu Shirita	SparkManga search returned no usable /manga/ candidate.
302	not_found	Zero Count	SparkManga search returned no usable /manga/ candidate.
304	not_found	Zettai Heiwa Daisakusen	SparkManga search returned no usable /manga/ candidate.
306	not_found	Zettai Renai Program	SparkManga search returned no usable /manga/ candidate.
314	ambiguous	Yajirobee	Multiple or borderline candidates; no mapping was guessed.
341	ambiguous	Yume Kurai	Multiple or borderline candidates; no mapping was guessed.
352	not_found	6 no Trigger	SparkManga search returned no usable /manga/ candidate.
359	ambiguous	6000	Multiple or borderline candidates; no mapping was guessed.
365	ambiguous	13	Multiple or borderline candidates; no mapping was guessed.
387	not_found	Are ← Nochi Kareshi	SparkManga search returned no usable /manga/ candidate.
392	not_found	Akuma de Koi Shiyou	SparkManga search returned no usable /manga/ candidate.
393	not_found	Akuma to Duet	SparkManga search returned no usable /manga/ candidate.
402	ambiguous	Ares	Multiple or borderline candidates; no mapping was guessed.
404	ambiguous	Akuma de Koibito	Multiple or borderline candidates; no mapping was guessed.
413	not_found	Aruitou	SparkManga search returned no usable /manga/ candidate.
430	ambiguous	A+B	Multiple or borderline candidates; no mapping was guessed.
466	ambiguous	Bokura ga Ita	Multiple or borderline candidates; no mapping was guessed.
474	ambiguous	Boku no Sekai Kimi no Real	Multiple or borderline candidates; no mapping was guessed.
479	ambiguous	Beck	Multiple or borderline candidates; no mapping was guessed.
488	not_found	Birdmen	SparkManga search returned no usable /manga/ candidate.
489	ambiguous	Bear Bear	Multiple or borderline candidates; no mapping was guessed.
504	not_found	Black Coffee (NAKANO Emiko)	SparkManga search returned no usable /manga/ candidate.
516	ambiguous	Akuma Jiten	Multiple or borderline candidates; no mapping was guessed.
524	ambiguous	Akuma to Tsuki no Yoru	Multiple or borderline candidates; no mapping was guessed.
536	ambiguous	Aria	Multiple or borderline candidates; no mapping was guessed.
553	not_found	A Cat That Loved A Fish	SparkManga search returned no usable /manga/ candidate.
556	not_found	Akuno Himitsu Kessha	SparkManga search returned no usable /manga/ candidate.
557	not_found	Ao Natsu	SparkManga search returned no usable /manga/ candidate.
558	not_found	Angel Sky	SparkManga search returned no usable /manga/ candidate.
559	not_found	Akumu no Elevator	SparkManga search returned no usable /manga/ candidate.
561	not_found	Anata to Scandal	SparkManga search returned no usable /manga/ candidate.
562	not_found	Amagoi	SparkManga search returned no usable /manga/ candidate.
563	not_found	Amon - Devilman Mokushiroku	SparkManga search returned no usable /manga/ candidate.
564	not_found	Apple (KOMI Naoshi)	SparkManga search returned no usable /manga/ candidate.
565	not_found	Akai Sato no Tengu	SparkManga search returned no usable /manga/ candidate.
566	not_found	Ai Container	Candidates existed, but none reached the safe match threshold.
568	not_found	A Pocket Full of Holes Forgets Everything	SparkManga search returned no usable /manga/ candidate.
570	ambiguous	Aqua	Multiple or borderline candidates; no mapping was guessed.
571	not_found	Amanusya	SparkManga search returned no usable /manga/ candidate.
572	not_found	Allumage	SparkManga search returned no usable /manga/ candidate.
574	not_found	Anne Freaks	SparkManga search returned no usable /manga/ candidate.
575	not_found	Anata no Shiranai Sekai	SparkManga search returned no usable /manga/ candidate.
576	not_found	Akira to Hiyori	SparkManga search returned no usable /manga/ candidate.
577	not_found	Always Together	SparkManga search returned no usable /manga/ candidate.
578	not_found	After School (UO Ikuta)	SparkManga search returned no usable /manga/ candidate.
579	not_found	Aka no Sekai	Candidates existed, but none reached the safe match threshold.
580	not_found	Akatsuki no Fumi	SparkManga search returned no usable /manga/ candidate.
582	not_found	Alice's Dream Files	SparkManga search returned no usable /manga/ candidate.
583	not_found	Alladin and the Magic Teapot	SparkManga search returned no usable /manga/ candidate.
585	not_found	Aru Hi Bijin ni Nattara	SparkManga search returned no usable /manga/ candidate.
587	not_found	Alabaster	SparkManga search returned no usable /manga/ candidate.
588	not_found	Atashi Hitori de Daijoubu	SparkManga search returned no usable /manga/ candidate.
590	ambiguous	Ai-chan	Multiple or borderline candidates; no mapping was guessed.
592	not_found	Arcana+ 01: Boys in Uniform	SparkManga search returned no usable /manga/ candidate.
611	not_found	Blackberry	SparkManga search returned no usable /manga/ candidate.
612	not_found	Back Alley Magical Detective Agency	SparkManga search returned no usable /manga/ candidate.
